SMILES1,SMILES,INCHIKEY
[Ca++].[H][C@@]1(CCOC(C)(C)C1)c2ccc3n(c(cc3c2)C(=O)N4CCc5nn(c(c5[C@@H]4C)-n6ccn(-c7ccc8n(C)ncc8c7F)c6=O)-c9cc(C)c(F)c(C)c9)[C@]%10(C[C@@H]%10C)c%11noc(=O)[n-]%11.[H][C@@]%12(CCOC(C)(C)C%12)c%13ccc%14n(c(cc%14c%13)C(=O)N%15CCc%16nn(c(c%16[C@@H]%15C)-n%17ccn(-c%18ccc%19n(C)ncc%19c%18F)c%17=O)-c%20cc(C)c(F)c(C)c%20)[C@]%21(C[C@@H]%21C)c%22noc(=O)[n-]%22,[Ca++].[H][C@@]1(CCOC(C)(C)C1)c2ccc3n(c(cc3c2)C(=O)N4CCc5nn(c(c5[C@@H]4C)-n6ccn(-c7ccc8n(C)ncc8c7F)c6=O)-c9cc(C)c(F)c(C)c9)[C@]%10(C[C@@H]%10C)c%11noc(=O)[n-]%11.[H][C@@]%12(CCOC(C)(C)C%12)c%13ccc%14n(c(cc%14c%13)C(=O)N%15CCc%16nn(c(c%16[C@@H]%15C)-n%17ccn(-c%18ccc%19n(C)ncc%19c%18F)c%17=O)-c%20cc(C)c(F)c(C)c%20)[C@]%21(C[C@@H]%21C)c%22noc(=O)[n-]%22,QBDWQKSMTIYJPN-IDSDWNPTSA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
